Country,electricity,mortality,emissions,emissionsCapita,CPI,Current health expenditure (% of GDP),GDPGrowth,GDP,EducationSpending,Internet,lifeexp,Literacy,popLargeCity,Unemployment,population,continent,,unemploymentr
Estonia,100,10.5,16280,12.35782429,115.4553248,6.59183788,5.49915471,19153,12.75030041,88.10245687,78.09268293,..,429990,5.76,1326693,Europe,16903,
Lithuania,100,10.1,11220,3.966902878,112.6424898,6.47619867,4.282596951,16903,11.82433987,77.61525651,75.4804878,..,534453,7.07,2715340,Europe,16589,
St. Kitts and Nevis,100,..,240,4.61219156,105.661275,5.69199848,-1.977829212,16589,..,80.71019081,..,..,..,..,..,North America,16254,
Barbados,100,10.683,1200,4.192447306,124.245074,6.62216997,0.475110679,16254,12.87915039,81.76077839,78.981,..,..,8.62,287437,North America,16067,
Oman,100,19.786,69900,14.98094912,112.3871221,3.97352886,0.346322041,16067,..,80.18563573,77.393,95.5759964,1377500,..,5128058,Asia,15912,
Hungary,100,9.7,46550,4.755839977,114.4500172,6.79227543,4.316780987,15912,10.06933975,76.75054712,75.81707317,..,1754955,4.16,9655983,Europe,15802,
Poland,100,10.6,312820,8.237562431,109.6376705,6.56172848,4.83065457,15802,11.05910969,75.98536595,77.75365854,..,1758551,4.89,37839255,Europe,15507,
Latvia,100,10.7,7120,3.665855236,110.8520017,6.00696659,3.25072029,15507,11.96763039,80.114077,74.62926829,..,639982,8.72,1882408,Europe,15396,
Croatia,100,8.9,17480,4.238057612,107.3639943,6.77827311,3.439217352,15396,8.661589622,67.09619204,77.82682927,..,685942,11.21,4100719,Europe,15217,
Trinidad and Tobago,100,13.302,18190,13.14249382,140.3239788,7.02028561,-2.987340197,15217,..,77.32605293,73.245,..,544631,..,1400283,North America,15217,
Trinidad and Tobago,100,13.302,18190,13.14249382,140.3239788,7.02028561,-2.987340197,15217,..,77.32605293,73.245,..,544631,..,1400283,Africa,14972,
Turkey,100,16.264,415900,5.127196701,174.9687033,4.17974997,7.501997489,14972,..,64.68461768,77.161,96.15052795,14539767,10.82,84495243,Asia,14740,
Chile,99.7,12.711,87040,4.712395783,125.5665448,9.06820488,1.184544707,14740,21.31155014,82.32748693,79.909,96.40228271,6627552,6.96,19144605,South America,14301,
Uruguay,99.8,13.963,6080,1.769167313,174.8000343,9.51635647,1.627753973,14301,14.93610954,70.3223544,77.632,98.61572266,1727095,7.89,3475842,South America,14220,
Antigua and Barbuda,100,15.53,500,5.239717055,112.4501693,5.17094231,3.144598617,14220,..,..,76.752,..,..,..,98069,North America,14088,
Seychelles,100,17.2,590,6.155900796,123.0945572,4.98940706,4.821336987,14088,..,58.76981124,74.3,..,..,3.71,98453,Africa,12257,
Palau,100,12.4,270,15.16087372,118.1686747,12.12845135,-1.916360453,12257,..,..,..,..,..,..,18109,..,11736,
Malaysia,100,16.867,222890,7.165808462,119.6050658,3.71246052,5.81272241,11736,21.67765045,80.14047901,75.828,95.08264923,7318545,3.41,32436963,Asia,11550,
Russia,100,11.2,1557190,10.77664459,168.1752389,5.34388065,1.825790064,11550,13.46508026,76.00813853,72.45146341,..,12288465,5.21,145945524,Europe,11529,
Panama,93.7,19.263,10250,2.495882403,121.577794,6.89914465,5.591148876,11529,..,59.9506309,78.149,..,1745913,3.9,4326296,North America,11529,
Panama,93.7,19.263,10250,2.495882403,121.577794,6.89914465,5.591148876,11529,..,59.9506309,78.149,..,1745913,3.9,4326296,North America,11225,
Equatorial Guinea,66.28614044,33.725,5630,4.461144462,121.1893713,3.01081419,-5.667502957,11225,..,..,58.061,..,353480,..,1410419,Africa,11225,
Equatorial Guinea,66.28614044,33.725,5630,4.461144462,121.1893713,3.01081419,-5.667502957,11225,..,..,58.061,..,353480,..,1410419,Africa,11225,
Equatorial Guinea,66.28614044,33.725,5630,4.461144462,121.1893713,3.01081419,-5.667502957,11225,..,..,58.061,..,353480,..,1410419,Africa,11021,
Brazil,99.8,14.125,449840,2.164421504,155.6687862,9.46933746,1.322869055,11021,16.51235962,67.47128452,75.456,93.07582092,21391624,12.82,212821986,South America,10980,
Romania,100,10.8,74100,3.782790244,113.9463616,5.1508317,7.319448529,10980,10.05265045,63.74728218,75.3097561,..,1830515,4.93,19214608,Europe,10980,
Romania,100,10.8,74100,3.782790244,113.9463616,5.1508317,7.319448529,10980,10.05265045,63.74728218,75.3097561,..,1830515,4.93,19214608,Africa,10867,
Kazakhstan,100,21.64,225560,12.50486756,168.9512996,3.12588406,4.1,10867,11.41991043,76.42674823,72.95,..,1772779,4.9,18815231,Asia,10419,
Argentina,100,17.205,180120,4.089471516,..,10.45704365,2.818502978,10419,13.26391983,74.29490687,76.372,..,14879100,8.35,45267449,South America,10419,
Argentina,100,17.205,180120,4.089471516,..,10.45704365,2.818502978,10419,13.26391983,74.29490687,76.372,..,14879100,8.35,45267449,Europe,10277,
Mexico,100,17.918,471810,3.781215828,130.1978025,5.51889515,2.113129135,10277,17.57673073,63.85224909,74.947,94.97277832,21500251,3.42,129166028,North America,10199,
Mauritius,99.61,10.7,4180,3.305359031,125.3575934,5.71669579,3.814152115,10199,19.9340992,55.4032403,74.51463415,..,..,6.75,1272140,Africa,9946,
Costa Rica,99.6,14.246,8180,1.652540276,123.45837,7.32879639,4.157698963,9946,30.15142059,71.58166462,79.914,..,1337237,8.14,5102158,North America,9224,
American Samoa,..,16.6,..,..,..,..,-6.98757764,9224,..,..,..,..,..,..,55169,Africa,9218,
Nauru,99.88204956,..,70,6.618133686,..,11.58332348,-5.747126437,9218,..,62.38512451,..,..,..,..,10836,..,9212,
Gabon,86.27,32.161,4700,2.276236287,114.2524472,2.78074527,0.472642031,9212,..,50.32012015,65.839,..,790784,..,2234448,Africa,9046,
St. Lucia,98.29696655,12.143,370,2.044707248,108.0377983,4.7146244,3.48884866,9046,..,50.81524478,75.907,..,..,18.86,..,North America,8775,
Grenada,94.09955597,16.701,290,2.615581651,106.5693351,4.59776449,4.442740288,8775,14.04117012,59.07173536,72.388,..,..,..,112614,North America,8353,
Bulgaria,100,9,44040,6.223901903,107.9361475,7.45326805,3.50275153,8353,12.73095036,63.41010138,74.81463415,..,1266840,6.16,6939018,Europe,8011,
Suriname,96.72870636,18.791,2130,3.733560502,263.9672515,6.22976971,1.567191065,8011,..,48.94517397,71.463,..,..,..,587541,South America,7859,
